iso_code,country,2022_last_updated,2020_population,area,growth_rate,world_%,rank,density_sq_km
ZMB,Zambia,"1,93,05,254","1,83,83,955","752,612 sq_km",0.03,0,62,26/sq_km
SYR,Syria,"1,91,03,928","1,75,00,658","185,180 sq_km",0.06,0,63,105/sq_km
CHL,Chile,"1,92,30,489","1,91,16,201","756,102 sq_km",0,0,64,25/sq_km
KAZ,Kazakhstan,"1,91,42,094","1,87,76,707","2,724,900 sq_km",0.01,0,65,7/sq_km
ROU,Romania,"1,90,61,769","1,92,37,691","238,391 sq_km",-0.01,0,66,80/sq_km
GTM,Guatemala,"1,84,84,197","1,79,15,568","108,889 sq_km",0.02,0,67,171/sq_km
ECU,Ecuador,"1,80,43,625","1,76,43,054","276,841 sq_km",0.01,0,68,65/sq_km
SEN,Senegal,"1,75,16,498","1,67,43,927","196,722 sq_km",0.03,0,69,90/sq_km
TCD,Chad,"1,72,64,255","1,64,25,864","1,284,000 sq_km",0.03,0,70,14/sq_km
NLD,Netherlands,"1,72,00,171","1,71,34,872","41,850 sq_km",0,0,71,411/sq_km
KHM,Cambodia,"1,71,02,187","1,67,18,965","181,035 sq_km",0.01,0,72,95/sq_km
SOM,Somalia,"1,66,97,615","1,58,93,222","637,657 sq_km",0.03,0,73,26/sq_km
ZWE,Zimbabwe,"1,52,58,955","1,48,62,924","390,757 sq_km",0.02,0,74,39/sq_km
GIN,Guinea,"1,37,55,558","1,31,32,795","245,857 sq_km",0.03,0,75,56/sq_km
RWA,Rwanda,"1,35,03,578","1,29,52,218","26,338 sq_km",0.02,0,76,516/sq_km
BEN,Benin,"1,26,84,665","1,21,23,200","112,622 sq_km",0.03,0,77,114/sq_km
BDI,Burundi,"1,25,14,269","1,18,90,784","27,834 sq_km",0.03,0,78,454/sq_km
TUN,Tunisia,"1,20,13,594","1,18,18,619","163,610 sq_km",0.01,0,79,74/sq_km
BOL,Bolivia,"1,19,44,924","1,16,73,021","1,098,581 sq_km",0.01,0,80,11/sq_km
HTI,Haiti,"1,16,38,901","1,14,02,528","27,750 sq_km",0.01,0,81,421/sq_km
BEL,Belgium,"1,16,56,564","1,15,89,623","30,528 sq_km",0,0,82,382/sq_km
SSD,South Sudan,"1,15,52,059","1,11,93,725","619,745 sq_km",0.02,0,83,19/sq_km
CUB,Cuba,"1,13,08,936","1,13,26,616","109,884 sq_km",0,0,84,103/sq_km
DOM,Dominican Republic,"1,10,25,607","1,08,47,910","48,671 sq_km",0.01,0,85,227/sq_km
CZE,Czech Republic,"1,07,33,281","1,07,08,981","78,865 sq_km",0,0,86,136/sq_km
GRC,Greece,"1,03,32,402","1,04,23,054","131,990 sq_km",-0.01,0,87,78/sq_km
JOR,Jordan,"1,02,83,134","1,02,03,134","89,342 sq_km",0,0,88,115/sq_km
AZE,Azerbaijan,"1,02,76,887","1,01,39,177","86,600 sq_km",0.01,0,89,119/sq_km
HND,Honduras,"1,01,73,953","99,04,607","112,492 sq_km",0.02,0,90,91/sq_km
SWE,Sweden,"1,02,01,236","1,00,99,265","450,295 sq_km",0.01,0,91,23/sq_km
PRT,Portugal,"1,01,49,219","1,01,96,709","92,090 sq_km",0,0,92,110/sq_km
ARE,United Arab Emirates,"1,00,53,540","98,90,402","83,600 sq_km",0.01,0,93,121/sq_km
TJK,Tajikistan,"98,95,282","95,37,645","143,100 sq_km",0.02,0,94,70/sq_km
HUN,Hungary,"96,14,798","96,60,351","93,028 sq_km",0,0,95,103/sq_km
BLR,Belarus,"94,35,756","94,49,323","207,600 sq_km",0,0,96,45/sq_km
PNG,Papua New Guinea,"92,40,277","89,47,024","462,840 sq_km",0.02,0,97,20/sq_km
AUT,Austria,"90,58,171","90,06,398","83,871 sq_km",0,0,98,108/sq_km
ISR,Israel,"88,83,043","86,55,535","20,770 sq_km",0.02,0,99,430/sq_km
CHE,Switzerland,"87,55,792","86,54,622","41,284 sq_km",0.01,0,100,213/sq_km
TGO,Togo,"86,19,968","82,78,724","56,785 sq_km",0.02,0,101,153/sq_km
SRB,Serbia,"86,65,825","87,37,371","88,361 sq_km",-0.01,0,102,98/sq_km
SLE,Sierra Leone,"82,57,062","79,76,983","71,740 sq_km",0.02,0,103,116/sq_km
HKG,Hong Kong,"75,88,097","74,96,981","1,104 sq_km",0.01,0,104,"6,888/sq_km"
LAO,Laos,"74,50,698","72,75,560","236,800 sq_km",0.01,0,105,32/sq_km
PRY,Paraguay,"72,80,116","71,32,538","406,752 sq_km",0.01,0,106,18/sq_km
LBY,Libya,"70,16,222","68,71,292","1,759,540 sq_km",0.01,0,107,4/sq_km
BGR,Bulgaria,"68,60,143","69,48,445","110,879 sq_km",-0.01,0,108,62/sq_km
NIC,Nicaragua,"67,56,001","66,24,554","130,373 sq_km",0.01,0,109,52/sq_km
KGZ,Kyrgyzstan,"66,98,275","65,24,195","199,951 sq_km",0.02,0,110,34/sq_km
LBN,Lebanon,"67,01,818","68,25,445","10,452 sq_km",-0.01,0,111,640/sq_km
SLV,El Salvador,"65,40,974","64,86,205","21,041 sq_km",0,0,112,311/sq_km
TKM,Turkmenistan,"61,76,873","60,31,200","488,100 sq_km",0.01,0,113,13/sq_km
SGP,Singapore,"59,29,533","58,50,342",710 sq_km,0.01,0,114,"8,371/sq_km"
DNK,Denmark,"58,28,491","57,92,202","43,094 sq_km",0,0,115,135/sq_km
FIN,Finland,"55,52,880","55,40,720","338,424 sq_km",0,0,117,16/sq_km
NOR,Norway,"54,97,685","54,21,241","323,802 sq_km",0.01,0,118,17/sq_km
SVK,Slovakia,"54,60,302","54,59,642","49,037 sq_km",0,0,119,111/sq_km
PSE,Palestine,"53,09,085","51,01,414","6,220 sq_km",0.02,0,120,859/sq_km
OMN,Oman,"52,91,588","51,06,626","309,500 sq_km",0.02,0,121,17/sq_km
LBR,Liberia,"52,67,676","50,57,681","111,369 sq_km",0.02,0,122,48/sq_km
CRI,Costa Rica,"51,69,436","50,94,118","51,100 sq_km",0.01,0,123,101/sq_km
IRL,Ireland,"50,08,485","49,37,786","70,273 sq_km",0.01,0,124,71/sq_km
CAF,Central African Republic,"49,88,214","48,29,767","622,984 sq_km",0.02,0,125,8/sq_km
MRT,Mauritania,"48,63,993","46,49,658","1,030,700 sq_km",0.03,0,126,5/sq_km
NZL,New Zealand,"48,86,927","48,22,233","270,467 sq_km",0.01,0,127,18/sq_km
PAN,Panama,"44,27,368","43,14,767","75,417 sq_km",0.01,0,128,59/sq_km
KWT,Kuwait,"43,63,248","42,70,571","17,818 sq_km",0.01,0,129,246/sq_km
HRV,Croatia,"40,66,183","41,05,267","56,594 sq_km",-0.01,0,130,72/sq_km
MDA,Moldova,"40,16,455","40,33,963","33,846 sq_km",0,0,131,119/sq_km
GEO,Georgia,"39,71,913","39,89,167","69,700 sq_km",0,0,132,57/sq_km
ERI,Eritrea,"36,44,509","35,46,421","117,600 sq_km",0.02,0,133,31/sq_km
URY,Uruguay,"34,92,841","34,73,730","181,034 sq_km",0,0,134,19/sq_km
MNG,Mongolia,"33,63,408","32,78,290","1,564,110 sq_km",0.01,0,135,2/sq_km
BIH,Bosnia And Herzegovina,"32,54,462","32,80,819","51,209 sq_km",0,0,136,63/sq_km
JAM,Jamaica,"29,81,591","29,61,167","10,991 sq_km",0,0,137,272/sq_km
QAT,Qatar,"29,64,588","28,81,053","11,586 sq_km",0.02,0,138,257/sq_km
ARM,Armenia,"29,70,871","29,63,243","29,743 sq_km",0,0,139,100/sq_km
ALB,Albania,"28,68,345","28,77,797","28,748 sq_km",0,0,140,100/sq_km
PRI,Puerto Rico,"28,33,863","28,60,853","8,870 sq_km",0,0,141,319/sq_km
LTU,Lithuania,"26,70,576","27,22,289","65,300 sq_km",-0.01,0,142,41/sq_km
NAM,Namibia,"26,19,971","25,40,905","825,615 sq_km",0.02,0,143,3/sq_km
GMB,Gambia,"25,37,025","24,16,668","10,689 sq_km",0.03,0,144,239/sq_km
BWA,Botswana,"24,28,025","23,51,627","582,000 sq_km",0.02,0,145,4/sq_km
GAB,Gabon,"23,15,549","22,25,734","267,668 sq_km",0.02,0,146,9/sq_km
LSO,Lesotho,"21,70,663","21,42,249","30,355 sq_km",0.01,0,147,72/sq_km
MKD,North Macedonia,"20,81,742","20,83,374","25,713 sq_km",0,0,148,81/sq_km
SVN,Slovenia,"20,78,253","20,78,938","20,273 sq_km",0,0,149,103/sq_km
GNB,Guinea Bissau,"20,49,026","19,68,001","36,125 sq_km",0.02,0,150,57/sq_km
LVA,Latvia,"18,54,420","18,86,198","64,559 sq_km",-0.01,0,151,29/sq_km
BHR,Bahrain,"17,72,160","17,01,575",765 sq_km,0.02,0,152,"2,332/sq_km"
GNQ,Equatorial Guinea,"14,82,649","14,02,985","28,051 sq_km",0.03,0,153,53/sq_km
TTO,Trinidad And Tobago,"14,05,600","13,99,488","5,130 sq_km",0,0,154,274/sq_km
TLS,Timor Leste,"13,61,875","13,18,445","14,874 sq_km",0.02,0,155,92/sq_km
EST,Estonia,"13,22,676","13,26,535","45,227 sq_km",0,0,156,29/sq_km
MUS,Mauritius,"12,74,289","12,71,768","2,040 sq_km",0,0,157,625/sq_km
CYP,Cyprus,"12,20,979","12,07,359","9,251 sq_km",0.01,0,158,132/sq_km
DJI,Djibouti,"10,11,937","9,88,000","23,200 sq_km",0.01,0,160,44/sq_km
FJI,Fiji,"9,07,495","8,96,445","18,272 sq_km",0.01,0,161,50/sq_km
RU,Reunion,"9,06,200","8,95,312","2,511 sq_km",0.01,0,162,362/sq_km
COM,Comoros,"9,01,617","8,69,601","1,862 sq_km",0.02,0,163,487/sq_km
GUY,Guyana,"7,92,950","7,86,552","214,969 sq_km",0,0,164,4/sq_km
BTN,Bhutan,"7,85,533","7,71,608","38,394 sq_km",0.01,0,165,21/sq_km
SLB,Solomon Islands,"7,15,904","6,86,884","28,896 sq_km",0.02,0,166,25/sq_km
MAC,Macau,"6,64,753","6,49,335",30 sq_km,0.01,0,167,"22,250/sq_km"
LUX,Luxembourg,"6,39,963","6,25,978","2,586 sq_km",0.01,0,168,248/sq_km
MNE,Montenegro,"6,27,950","6,28,066","13,812 sq_km",0,0,169,45/sq_km
ESH,Western Sahara,"6,21,891","5,97,339","266,000 sq_km",0.02,0,170,2/sq_km
SUR,Suriname,"5,95,298","5,86,632","163,820 sq_km",0.01,0,171,4/sq_km
CPV,Cape Verde,"5,65,926","5,55,987","4,033 sq_km",0.01,0,172,141/sq_km
MDV,Maldives,"5,40,876","5,40,544",300 sq_km,0,0,173,"1,803/sq_km"
BRN,Brunei,"4,44,227","4,37,479","5,765 sq_km",0.01,0,174,77/sq_km
MLT,Malta,"4,43,705","4,41,543",316 sq_km,0,0,175,"1,405/sq_km"
BLZ,Belize,"4,10,000","3,97,628","22,966 sq_km",0.02,0,176,18/sq_km
BHS,Bahamas,"3,99,421","3,93,244","13,943 sq_km",0.01,0,177,29/sq_km
MTQ,Martinique,"3,74,306","3,75,265","1,128 sq_km",0,0,179,332/sq_km
ISL,Iceland,"3,44,736","3,41,243","103,000 sq_km",0.01,0,180,3/sq_km
VUT,Vanuatu,"3,19,533","3,07,145","12,189 sq_km",0.02,0,181,26/sq_km
NCL,New Caledonia,"2,90,149","2,85,498","18,575 sq_km",0.01,0,183,16/sq_km
BRB,Barbados,"2,87,914","2,87,375",430 sq_km,0,0,184,670/sq_km
MYT,Mayotte,"2,84,179","2,72,815",374 sq_km,0.02,0,185,765/sq_km
PYF,French Polynesia,"2,83,726","2,80,908","4,167 sq_km",0.01,0,186,68/sq_km
STP,Sao Tome And Principe,"2,26,365","2,19,159",964 sq_km,0.02,0,187,236/sq_km
WSM,Samoa,"2,01,692","1,98,414","2,842 sq_km",0.01,0,188,71/sq_km
LCA,Saint Lucia,"1,84,894","1,83,627",616 sq_km,0,0,189,301/sq_km
